Day,Coin,Price,Price_change_24h,Price_change_90d,Price_1h,Price_1d,Price_1w,Price_30day,Price_90d,Market_cap
2024-04-21,LRC,0.27,5.67,7.26,0.73,0.73,0.74,0.64,0.75,374051846.0
2024-04-21,PIXEL,0.48,8.6,-6.04,0.53,0.53,0.57,0.33,0.49,2385266236.0
2024-04-21,DASH,31.23,4.22,9.24,30.21,30.21,28.57,34.72,27.34,590222634.0
2024-04-21,XEM,0.04,7.38,-13.13,0.96,0.96,0.96,0.95,0.95,362264410.0
2024-04-21,ANT,8.37,1.64,36.6,7.4,7.4,6.8,7.9,4.31,361383266.0
2024-04-21,DCR,22.37,5.19,48.15,21.39,21.39,18.04,24.65,10.6,469790230.0
2024-04-21,MEME,0.03,12.61,24.47,0.97,0.97,0.97,0.96,0.98,2051199886.0
2024-04-21,MASK,3.62,4.07,3.97,2.63,2.63,2.38,3.47,2.48,362484565.0
2024-04-21,YGG,0.96,9.88,90.55,0.04,0.04,0.11,0.16,0.91,962085661.0
2024-04-21,AMP,0.01,10.21,120.73,0.99,0.99,0.99,0.99,1.0,811494419.0
2024-04-21,ZETA,1.33,6.43,142.85,0.33,0.33,0.16,0.81,1.57,2799535369.0
2024-04-21,FLUX,0.96,4.97,68.81,0.03,0.03,0.1,0.25,0.7,424426772.0
2024-04-21,RSR,0.01,9.21,174.77,0.99,0.99,0.99,0.99,1.0,656565638.0
2024-04-21,XCH,32.01,3.11,3.18,30.91,30.91,30.7,38.3,29.99,1001348469.0
2024-04-21,ONT,0.36,-6.21,54.35,0.64,0.64,0.74,0.67,0.84,359398451.0
2024-04-21,ONE,0.02,6.72,47.37,0.98,0.98,0.98,0.97,0.99,315862079.0
2024-04-21,JST,0.03,2.95,15.95,0.97,0.97,0.97,0.96,0.97,332858700.0
